"PROVINCIAS","ANIO","RECAUDACION","NEGOCIO","ID"
"Pichincha",2013,11260527,"RESTAURANTES",187
"Santa Elena",2013,795731,"RESTAURANTES",188
"Sto Domingo de los Tsáchilas",2013,252948,"RESTAURANTES",189
"Sucumbíos",2013,497355,"RESTAURANTES",190
"Tungurahua",2013,864632,"RESTAURANTES",191
"Zamora Chinchipe",2013,62105,"RESTAURANTES",192
"Azuay",2014,1902748,"RESTAURANTES",193
"Bolivar",2014,66229,"RESTAURANTES",194
"Carchi",2014,207502,"RESTAURANTES",195
"Cañar",2014,67579,"RESTAURANTES",196
"Chimborazo",2014,383252,"RESTAURANTES",197
"Cotopaxi",2014,353926,"RESTAURANTES",198
"El Oro",2014,1026151,"RESTAURANTES",199
"Esmeraldas",2014,574123,"RESTAURANTES",200
"Galápagos",2014,1004759,"RESTAURANTES",201
"Guayas",2014,12647797,"RESTAURANTES",202
"Imbabura",2014,1090921,"RESTAURANTES",203
"Loja",2014,469793,"RESTAURANTES",204
"Los Ríos",2014,23373,"RESTAURANTES",205
"Manabí",2014,1624774,"RESTAURANTES",206
"Morona Santiago",2014,10505,"RESTAURANTES",207
"Napo",2014,288461,"RESTAURANTES",208
"Orellana",2014,312951,"RESTAURANTES",209
"Pastaza",2014,79488,"RESTAURANTES",210
"Pichincha",2014,11288001,"RESTAURANTES",211
"Santa Elena",2014,950733,"RESTAURANTES",212
"Sto Domingo de los Tsáchilas",2014,33232,"RESTAURANTES",213
"Sucumbíos",2014,799187,"RESTAURANTES",214
"Tungurahua",2014,1078472,"RESTAURANTES",215
"Zamora Chinchipe",2014,74463,"RESTAURANTES",216
"Azuay",2015,1954722,"RESTAURANTES",217
"Bolivar",2015,35424,"RESTAURANTES",218
"Carchi",2015,225711,"RESTAURANTES",219
"Cañar",2015,70305,"RESTAURANTES",220
"Chimborazo",2015,355539,"RESTAURANTES",221
"Cotopaxi",2015,277096,"RESTAURANTES",222
"El Oro",2015,937425,"RESTAURANTES",223
"Esmeraldas",2015,52423,"RESTAURANTES",224
"Galápagos",2015,1130229,"RESTAURANTES",225
"Guayas",2015,11809772,"RESTAURANTES",226
"Imbabura",2015,1239670,"RESTAURANTES",227
"Loja",2015,551106,"RESTAURANTES",228
"Los Ríos",2015,22396,"RESTAURANTES",229
"Manabí",2015,1526356,"RESTAURANTES",230
"Morona Santiago",2015,77194,"RESTAURANTES",231
"Napo",2015,342417,"RESTAURANTES",232
"Orellana",2015,257049,"RESTAURANTES",233
"Pastaza",2015,105965,"RESTAURANTES",234
"Pichincha",2015,10525129,"RESTAURANTES",235
"Santa Elena",2015,956548,"RESTAURANTES",236
"Sto Domingo de los Tsáchilas",2015,403398,"RESTAURANTES",237
"Sucumbíos",2015,676094,"RESTAURANTES",238
"Tungurahua",2015,1267428,"RESTAURANTES",239
"Zamora Chinchipe",2015,72853,"RESTAURANTES",240
